date,fiscal_year,month,series,label,expenditure
2017-09-01,2018,9,higher_ed,Higher Education,235.6
2017-09-01,2018,9,human_services,Human Services,518.4
2017-09-01,2018,9,total_expenditures,Total Expenditures,2436
2017-10-01,2018,10,aging,Aging,75.2
2017-10-01,2018,10,corrections,Corrections,166.7
2017-10-01,2018,10,education,Education,776.9
2017-10-01,2018,10,healthcare,Healthcare,596.2
2017-10-01,2018,10,higher_ed,Higher Education,203.1
2017-10-01,2018,10,human_services,Human Services,464.9
2017-10-01,2018,10,total_expenditures,Total Expenditures,2434.7
2017-11-01,2018,11,aging,Aging,69.5
2017-11-01,2018,11,corrections,Corrections,172.9
2017-11-01,2018,11,education,Education,748.1
2017-11-01,2018,11,healthcare,Healthcare,564.9
2017-11-01,2018,11,higher_ed,Higher Education,197.8
2017-11-01,2018,11,human_services,Human Services,447.3
2017-11-01,2018,11,total_expenditures,Total Expenditures,2383.9
2017-12-01,2018,12,aging,Aging,99.3
2017-12-01,2018,12,corrections,Corrections,171.5
2017-12-01,2018,12,education,Education,778.7
2017-12-01,2018,12,healthcare,Healthcare,622.6
2017-12-01,2018,12,higher_ed,Higher Education,229.8
2017-12-01,2018,12,human_services,Human Services,505.6
2017-12-01,2018,12,total_expenditures,Total Expenditures,2413
2018-01-01,2018,1,aging,Aging,59.7
2018-01-01,2018,1,corrections,Corrections,158.8
2018-01-01,2018,1,education,Education,748.9
2018-01-01,2018,1,healthcare,Healthcare,570.8
2018-01-01,2018,1,higher_ed,Higher Education,184
2018-01-01,2018,1,human_services,Human Services,475.8
2018-01-01,2018,1,total_expenditures,Total Expenditures,2431.1
2018-02-01,2018,2,aging,Aging,69.5
2018-02-01,2018,2,corrections,Corrections,142.9
2018-02-01,2018,2,education,Education,730.7
2018-02-01,2018,2,healthcare,Healthcare,548.7
2018-02-01,2018,2,higher_ed,Higher Education,183.3
2018-02-01,2018,2,human_services,Human Services,494.9
2018-02-01,2018,2,total_expenditures,Total Expenditures,2372.9
2018-03-01,2018,3,aging,Aging,87.2
2018-03-01,2018,3,corrections,Corrections,171.6
2018-03-01,2018,3,education,Education,776.1
2018-03-01,2018,3,healthcare,Healthcare,620.1
2018-03-01,2018,3,higher_ed,Higher Education,205.6
2018-03-01,2018,3,human_services,Human Services,486.1
2018-03-01,2018,3,total_expenditures,Total Expenditures,2430.5
2018-04-01,2018,4,aging,Aging,79.3
2018-04-01,2018,4,corrections,Corrections,175.8
2018-04-01,2018,4,education,Education,820.7
2018-04-01,2018,4,healthcare,Healthcare,609.9
2018-04-01,2018,4,higher_ed,Higher Education,198.8
2018-04-01,2018,4,human_services,Human Services,501.6
2018-04-01,2018,4,total_expenditures,Total Expenditures,2420
2018-05-01,2018,5,aging,Aging,82.7
2018-05-01,2018,5,corrections,Corrections,172.2
2018-05-01,2018,5,education,Education,803.3
2018-05-01,2018,5,healthcare,Healthcare,596.7
2018-05-01,2018,5,higher_ed,Higher Education,206.7
2018-05-01,2018,5,human_services,Human Services,503
2018-05-01,2018,5,total_expenditures,Total Expenditures,2400.6
2018-06-01,2018,6,aging,Aging,88.6
2018-06-01,2018,6,corrections,Corrections,158.5
2018-06-01,2018,6,education,Education,765.8
2018-06-01,2018,6,healthcare,Healthcare,622.1
2018-06-01,2018,6,higher_ed,Higher Education,216.3
2018-06-01,2018,6,human_services,Human Services,486.5
2018-06-01,2018,6,total_expenditures,Total Expenditures,2478.9
2018-07-01,2019,7,aging,Aging,102.9
2018-07-01,2019,7,corrections,Corrections,196.9
2018-07-01,2019,7,education,Education,820.6
2018-07-01,2019,7,healthcare,Healthcare,603.3
2018-07-01,2019,7,higher_ed,Higher Education,234.9
2018-07-01,2019,7,human_services,Human Services,492.1
2018-07-01,2019,7,total_expenditures,Total Expenditures,2528.8
2018-08-01,2019,8,aging,Aging,106.8
2018-08-01,2019,8,corrections,Corrections,200.1
2018-08-01,2019,8,education,Education,808.4
2018-08-01,2019,8,healthcare,Healthcare,693.1
2018-08-01,2019,8,higher_ed,Higher Education,250.1
2018-08-01,2019,8,human_services,Human Services,511.6
2018-08-01,2019,8,total_expenditures,Total Expenditures,2518.4
2018-09-01,2019,9,aging,Aging,105.2
2018-09-01,2019,9,corrections,Corrections,206
2018-09-01,2019,9,education,Education,813.3
2018-09-01,2019,9,healthcare,Healthcare,598.7
2018-09-01,2019,9,higher_ed,Higher Education,228.8
2018-09-01,2019,9,human_services,Human Services,530.6
2018-09-01,2019,9,total_expenditures,Total Expenditures,2540.4
2018-10-01,2019,10,aging,Aging,83.7
2018-10-01,2019,10,corrections,Corrections,177.8
2018-10-01,2019,10,education,Education,817
2018-10-01,2019,10,healthcare,Healthcare,636
2018-10-01,2019,10,higher_ed,Higher Education,207.5
2018-10-01,2019,10,human_services,Human Services,507.5
2018-10-01,2019,10,total_expenditures,Total Expenditures,2501
2018-11-01,2019,11,aging,Aging,83.4
2018-11-01,2019,11,corrections,Corrections,179.1
2018-11-01,2019,11,education,Education,813.1
2018-11-01,2019,11,healthcare,Healthcare,627
2018-11-01,2019,11,higher_ed,Higher Education,224.9
2018-11-01,2019,11,human_services,Human Services,479.6
2018-11-01,2019,11,total_expenditures,Total Expenditures,2505.4
2018-12-01,2019,12,aging,Aging,103.8
2018-12-01,2019,12,corrections,Corrections,199.3
2018-12-01,2019,12,education,Education,839
2018-12-01,2019,12,healthcare,Healthcare,624.2
2018-12-01,2019,12,higher_ed,Higher Education,215.3
2018-12-01,2019,12,human_services,Human Services,522.3
2018-12-01,2019,12,total_expenditures,Total Expenditures,2452.6
2019-01-01,2019,1,aging,Aging,68.5
2019-01-01,2019,1,corrections,Corrections,152.2
2019-01-01,2019,1,education,Education,797.1
2019-01-01,2019,1,healthcare,Healthcare,627.7
2019-01-01,2019,1,higher_ed,Higher Education,181.2
2019-01-01,2019,1,human_services,Human Services,471
2019-01-01,2019,1,total_expenditures,Total Expenditures,2581.6
2019-02-01,2019,2,aging,Aging,61.5
2019-02-01,2019,2,corrections,Corrections,153.7
2019-02-01,2019,2,education,Education,768.4
2019-02-01,2019,2,healthcare,Healthcare,614.6
2019-02-01,2019,2,higher_ed,Higher Education,202.6
2019-02-01,2019,2,human_services,Human Services,510.5
2019-02-01,2019,2,total_expenditures,Total Expenditures,2604.2
2019-03-01,2019,3,aging,Aging,87.4
2019-03-01,2019,3,corrections,Corrections,177.2
2019-03-01,2019,3,education,Education,796.8
2019-03-01,2019,3,healthcare,Healthcare,678.4
2019-03-01,2019,3,higher_ed,Higher Education,211
2019-03-01,2019,3,human_services,Human Services,517.4
2019-03-01,2019,3,total_expenditures,Total Expenditures,2598.6
2019-04-01,2019,4,aging,Aging,80.9
2019-04-01,2019,4,corrections,Corrections,180.7
2019-04-01,2019,4,education,Education,781.7
2019-04-01,2019,4,healthcare,Healthcare,623.7
2019-04-01,2019,4,higher_ed,Higher Education,206.2
2019-04-01,2019,4,human_services,Human Services,508
2019-04-01,2019,4,total_expenditures,Total Expenditures,2592.4
2019-05-01,2019,5,aging,Aging,79.7
2019-05-01,2019,5,corrections,Corrections,189.9
2019-05-01,2019,5,education,Education,830.3
2019-05-01,2019,5,healthcare,Healthcare,680.6
2019-05-01,2019,5,higher_ed,Higher Education,207.6
2019-05-01,2019,5,human_services,Human Services,532.4
2019-05-01,2019,5,total_expenditures,Total Expenditures,2573.6
2019-06-01,2019,6,aging,Aging,89.9
2019-06-01,2019,6,corrections,Corrections,172.5
2019-06-01,2019,6,education,Education,851.6
2019-06-01,2019,6,healthcare,Healthcare,666.6
2019-06-01,2019,6,higher_ed,Higher Education,225.7
2019-06-01,2019,6,human_services,Human Services,505
2019-06-01,2019,6,total_expenditures,Total Expenditures,2555.8
2019-07-01,2020,7,aging,Aging,105.5
2019-07-01,2020,7,corrections,Corrections,198.1
2019-07-01,2020,7,education,Education,804.9
2019-07-01,2020,7,healthcare,Healthcare,659.4
2019-07-01,2020,7,higher_ed,Higher Education,236.8
2019-07-01,2020,7,human_services,Human Services,572.9
2019-07-01,2020,7,total_expenditures,Total Expenditures,2622.7
2019-08-01,2020,8,aging,Aging,113.5
2019-08-01,2020,8,corrections,Corrections,212
2019-08-01,2020,8,education,Education,850.2
2019-08-01,2020,8,healthcare,Healthcare,681.6
2019-08-01,2020,8,higher_ed,Higher Education,244.2
2019-08-01,2020,8,human_services,Human Services,536.4
2019-08-01,2020,8,total_expenditures,Total Expenditures,2590.6
2019-09-01,2020,9,aging,Aging,108.3
2019-09-01,2020,9,corrections,Corrections,203.3
2019-09-01,2020,9,education,Education,863.8
2019-09-01,2020,9,healthcare,Healthcare,669
2019-09-01,2020,9,higher_ed,Higher Education,237.6
2019-09-01,2020,9,human_services,Human Services,517.9
2019-09-01,2020,9,total_expenditures,Total Expenditures,2668.7
2019-10-01,2020,10,aging,Aging,95.1
2019-10-01,2020,10,corrections,Corrections,180.5
2019-10-01,2020,10,education,Education,823.3
2019-10-01,2020,10,healthcare,Healthcare,623.2
2019-10-01,2020,10,higher_ed,Higher Education,225.7
2019-10-01,2020,10,human_services,Human Services,512.9
2019-10-01,2020,10,total_expenditures,Total Expenditures,2635.9
2019-11-01,2020,11,aging,Aging,92.1
2019-11-01,2020,11,corrections,Corrections,187.7
2019-11-01,2020,11,education,Education,811
2019-11-01,2020,11,healthcare,Healthcare,712.4
2019-11-01,2020,11,higher_ed,Higher Education,215.6
2019-11-01,2020,11,human_services,Human Services,526.3
2019-11-01,2020,11,total_expenditures,Total Expenditures,2623.6
2019-12-01,2020,12,aging,Aging,102
2019-12-01,2020,12,corrections,Corrections,193.7
2019-12-01,2020,12,education,Education,824.1
2019-12-01,2020,12,healthcare,Healthcare,723.1
2019-12-01,2020,12,higher_ed,Higher Education,242.7
2019-12-01,2020,12,human_services,Human Services,547.1
2019-12-01,2020,12,total_expenditures,Total Expenditures,2632.9
2020-01-01,2020,1,aging,Aging,75.5
2020-01-01,2020,1,corrections,Corrections,160.5
2020-01-01,2020,1,education,Education,851.3
2020-01-01,2020,1,healthcare,Healthcare,661.9
2020-01-01,2020,1,higher_ed,Higher Education,200.6
2020-01-01,2020,1,human_services,Human Services,503.8
2020-01-01,2020,1,total_expenditures,Total Expenditures,2639.6
2020-02-01,2020,2,aging,Aging,74.1
2020-02-01,2020,2,corrections,Corrections,164.9
2020-02-01,2020,2,education,Education,816.7
2020-02-01,2020,2,healthcare,Healthcare,630.7
2020-02-01,2020,2,higher_ed,Higher Education,225.6
2020-02-01,2020,2,human_services,Human Services,514.1
2020-02-01,2020,2,total_expenditures,Total Expenditures,2671.8
2020-03-01,2020,3,aging,Aging,84.7
2020-03-01,2020,3,corrections,Corrections,182.6
2020-03-01,2020,3,education,Education,872.4
2020-03-01,2020,3,healthcare,Healthcare,694.5
2020-03-01,2020,3,higher_ed,Higher Education,229.9
2020-03-01,2020,3,human_services,Human Services,547.7
2020-03-01,2020,3,total_expenditures,Total Expenditures,2736.8
2020-04-01,2020,4,aging,Aging,90
2020-04-01,2020,4,corrections,Corrections,180.9
2020-04-01,2020,4,education,Education,829.3
2020-04-01,2020,4,healthcare,Healthcare,664.7
2020-04-01,2020,4,higher_ed,Higher Education,208.2
2020-04-01,2020,4,human_services,Human Services,549.6
2020-04-01,2020,4,total_expenditures,Total Expenditures,2592.5
2020-05-01,2020,5,aging,Aging,86.8
2020-05-01,2020,5,corrections,Corrections,194.1
2020-05-01,2020,5,education,Education,880.6
2020-05-01,2020,5,healthcare,Healthcare,702.7
2020-05-01,2020,5,higher_ed,Higher Education,241.4
2020-05-01,2020,5,human_services,Human Services,548.8
2020-05-01,2020,5,total_expenditures,Total Expenditures,2644
2020-06-01,2020,6,aging,Aging,94.2
2020-06-01,2020,6,corrections,Corrections,184
2020-06-01,2020,6,education,Education,864.7
2020-06-01,2020,6,healthcare,Healthcare,711.9
2020-06-01,2020,6,higher_ed,Higher Education,227.9
2020-06-01,2020,6,human_services,Human Services,530.5
2020-06-01,2020,6,total_expenditures,Total Expenditures,2780.1
2020-07-01,2021,7,aging,Aging,114.3
2020-07-01,2021,7,corrections,Corrections,214
2020-07-01,2021,7,education,Education,879.6
2020-07-01,2021,7,healthcare,Healthcare,725.2
2020-07-01,2021,7,higher_ed,Higher Education,256.8
2020-07-01,2021,7,human_services,Human Services,580.3
2020-07-01,2021,7,total_expenditures,Total Expenditures,2711
2020-08-01,2021,8,aging,Aging,116.8
2020-08-01,2021,8,corrections,Corrections,215.3
2020-08-01,2021,8,education,Education,910.9
2020-08-01,2021,8,healthcare,Healthcare,722.7
2020-08-01,2021,8,higher_ed,Higher Education,269.3
2020-08-01,2021,8,human_services,Human Services,606.3
2020-08-01,2021,8,total_expenditures,Total Expenditures,2817.3
2020-09-01,2021,9,aging,Aging,112.3
2020-09-01,2021,9,corrections,Corrections,200
2020-09-01,2021,9,education,Education,875.4
2020-09-01,2021,9,healthcare,Healthcare,751.1
2020-09-01,2021,9,higher_ed,Higher Education,260.4
2020-09-01,2021,9,human_services,Human Services,564.2
2020-09-01,2021,9,total_expenditures,Total Expenditures,2694.1
2020-10-01,2021,10,aging,Aging,89.2
2020-10-01,2021,10,corrections,Corrections,193.4
2020-10-01,2021,10,education,Education,853.3
2020-10-01,2021,10,healthcare,Healthcare,729.2
2020-10-01,2021,10,higher_ed,Higher Education,257.8
2020-10-01,2021,10,human_services,Human Services,596
2020-10-01,2021,10,total_expenditures,Total Expenditures,2786.9
2020-11-01,2021,11,aging,Aging,95.2
2020-11-01,2021,11,corrections,Corrections,203.3
2020-11-01,2021,11,education,Education,865
2020-11-01,2021,11,healthcare,Healthcare,718.1
2020-11-01,2021,11,higher_ed,Higher Education,227.8
2020-11-01,2021,11,human_services,Human Services,577.1
2020-11-01,2021,11,total_expenditures,Total Expenditures,2683.7
2020-12-01,2021,12,aging,Aging,105
2020-12-01,2021,12,corrections,Corrections,206.9
2020-12-01,2021,12,education,Education,880.5
2020-12-01,2021,12,healthcare,Healthcare,724.3
2020-12-01,2021,12,higher_ed,Higher Education,252.5
2020-12-01,2021,12,human_services,Human Services,551.7
2020-12-01,2021,12,total_expenditures,Total Expenditures,2707.2
2021-01-01,2021,1,aging,Aging,76.8
2021-01-01,2021,1,corrections,Corrections,168.5
2021-01-01,2021,1,education,Education,849.1
2021-01-01,2021,1,healthcare,Healthcare,717.8
2021-01-01,2021,1,higher_ed,Higher Education,221.7
2021-01-01,2021,1,human_services,Human Services,527.1
2021-01-01,2021,1,total_expenditures,Total Expenditures,2747.3
2021-02-01,2021,2,aging,Aging,78.8
2021-02-01,2021,2,corrections,Corrections,185.9
2021-02-01,2021,2,education,Education,851
2021-02-01,2021,2,healthcare,Healthcare,704.8
2021-02-01,2021,2,higher_ed,Higher Education,225.7
2021-02-01,2021,2,human_services,Human Services,542.3
2021-02-01,2021,2,total_expenditures,Total Expenditures,2724.9
2021-03-01,2021,3,aging,Aging,95.5
2021-03-01,2021,3,corrections,Corrections,196.2
2021-03-01,2021,3,education,Education,854.9
2021-03-01,2021,3,healthcare,Healthcare,753.5
2021-03-01,2021,3,higher_ed,Higher Education,245
2021-03-01,2021,3,human_services,Human Services,568.6
2021-03-01,2021,3,total_expenditures,Total Expenditures,2705.8
2021-04-01,2021,4,aging,Aging,95.5
2021-04-01,2021,4,corrections,Corrections,202.9
2021-04-01,2021,4,education,Education,903.2
2021-04-01,2021,4,healthcare,Healthcare,696.6
2021-04-01,2021,4,higher_ed,Higher Education,243.1
2021-04-01,2021,4,human_services,Human Services,552.5
2021-04-01,2021,4,total_expenditures,Total Expenditures,2715.2
2021-05-01,2021,5,aging,Aging,88.8
2021-05-01,2021,5,corrections,Corrections,197.2
2021-05-01,2021,5,education,Education,861
2021-05-01,2021,5,healthcare,Healthcare,726.1
2021-05-01,2021,5,higher_ed,Higher Education,226.1
2021-05-01,2021,5,human_services,Human Services,560
2021-05-01,2021,5,total_expenditures,Total Expenditures,2801.9
2021-06-01,2021,6,aging,Aging,96.6
2021-06-01,2021,6,corrections,Corrections,201.1
2021-06-01,2021,6,education,Education,865.8
2021-06-01,2021,6,healthcare,Healthcare,755.4
2021-06-01,2021,6,higher_ed,Higher Education,235.3
2021-06-01,2021,6,human_services,Human Services,582.7
2021-06-01,2021,6,total_expenditures,Total Expenditures,2734.3
2021-07-01,2022,7,aging,Aging,114.5
2021-07-01,2022,7,corrections,Corrections,233.5
2021-07-01,2022,7,education,Education,890.9
2021-07-01,2022,7,healthcare,Healthcare,744.2
2021-07-01,2022,7,higher_ed,Higher Education,266
2021-07-01,2022,7,human_services,Human Services,608
2021-07-01,2022,7,total_expenditures,Total Expenditures,2883.9
2021-08-01,2022,8,aging,Aging,129.8
2021-08-01,2022,8,corrections,Corrections,227.9
2021-08-01,2022,8,education,Education,956.9
2021-08-01,2022,8,healthcare,Healthcare,724.6
2021-08-01,2022,8,higher_ed,Higher Education,261.3
2021-08-01,2022,8,human_services,Human Services,589.5
2021-08-01,2022,8,total_expenditures,Total Expenditures,2908.2
2021-09-01,2022,9,aging,Aging,119.5
2021-09-01,2022,9,corrections,Corrections,226.3
2021-09-01,2022,9,education,Education,932.1
2021-09-01,2022,9,healthcare,Healthcare,778.2
2021-09-01,2022,9,higher_ed,Higher Education,270.3
2021-09-01,2022,9,human_services,Human Services,597.3
2021-09-01,2022,9,total_expenditures,Total Expenditures,2779.6
2021-10-01,2022,10,aging,Aging,100.7
2021-10-01,2022,10,corrections,Corrections,193.6
2021-10-01,2022,10,education,Education,911
2021-10-01,2022,10,healthcare,Healthcare,730.9
2021-10-01,2022,10,higher_ed,Higher Education,235
2021-10-01,2022,10,human_services,Human Services,565.7
2021-10-01,2022,10,total_expenditures,Total Expenditures,2733.8
2021-11-01,2022,11,aging,Aging,103.1
2021-11-01,2022,11,corrections,Corrections,204.3
2021-11-01,2022,11,education,Education,849.6
2021-11-01,2022,11,healthcare,Healthcare,736.4
2021-11-01,2022,11,higher_ed,Higher Education,253
2021-11-01,2022,11,human_services,Human Services,534.1
2021-11-01,2022,11,total_expenditures,Total Expenditures,2718.3
2021-12-01,2022,12,aging,Aging,116
2021-12-01,2022,12,corrections,Corrections,212.1
2021-12-01,2022,12,education,Education,907.1
2021-12-01,2022,12,healthcare,Healthcare,782.3
2021-12-01,2022,12,higher_ed,Higher Education,261.9
2021-12-01,2022,12,human_services,Human Services,591.5
2021-12-01,2022,12,total_expenditures,Total Expenditures,2905.9
2022-01-01,2022,1,aging,Aging,90.2
2022-01-01,2022,1,corrections,Corrections,200.5
2022-01-01,2022,1,education,Education,915.3
2022-01-01,2022,1,healthcare,Healthcare,782.1
2022-01-01,2022,1,higher_ed,Higher Education,233.2
2022-01-01,2022,1,human_services,Human Services,559.8
2022-01-01,2022,1,total_expenditures,Total Expenditures,2779.3
2022-02-01,2022,2,aging,Aging,79.8
2022-02-01,2022,2,corrections,Corrections,186.5
2022-02-01,2022,2,education,Education,923.9
2022-02-01,2022,2,healthcare,Healthcare,739.8
2022-02-01,2022,2,higher_ed,Higher Education,226.4
2022-02-01,2022,2,human_services,Human Services,572.7
2022-02-01,2022,2,total_expenditures,Total Expenditures,2903.9
2022-03-01,2022,3,aging,Aging,104.7
2022-03-01,2022,3,corrections,Corrections,196.1
2022-03-01,2022,3,education,Education,859.7
2022-03-01,2022,3,healthcare,Healthcare,780.8
2022-03-01,2022,3,higher_ed,Higher Education,240.7
2022-03-01,2022,3,human_services,Human Services,575.4
2022-03-01,2022,3,total_expenditures,Total Expenditures,2863.4
2022-04-01,2022,4,aging,Aging,98.1
2022-04-01,2022,4,corrections,Corrections,216.3
2022-04-01,2022,4,education,Education,854.4
2022-04-01,2022,4,healthcare,Healthcare,716.5
2022-04-01,2022,4,higher_ed,Higher Education,263
2022-04-01,2022,4,human_services,Human Services,606.7
2022-04-01,2022,4,total_expenditures,Total Expenditures,2810.4
2022-05-01,2022,5,aging,Aging,114.1
2022-05-01,2022,5,corrections,Corrections,200.2
2022-05-01,2022,5,education,Education,881.4
2022-05-01,2022,5,healthcare,Healthcare,768.4
2022-05-01,2022,5,higher_ed,Higher Education,240.7
2022-05-01,2022,5,human_services,Human Services,571.2
2022-05-01,2022,5,total_expenditures,Total Expenditures,2844.8
2022-06-01,2022,6,aging,Aging,107.4
2022-06-01,2022,6,corrections,Corrections,191.9
2022-06-01,2022,6,education,Education,884.1
2022-06-01,2022,6,healthcare,Healthcare,731.3
